Value,Name,VariableDescription,Date
"1,766","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,753","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,757","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,754","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,749","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,758","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,765","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,764","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,759","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,751","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,744","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,738","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/21/21
"1,733","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,727","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,728","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,732","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,733","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,719","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,717","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,715","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,706","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,709","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,727","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,724","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,726","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,729","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,736","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,746","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,745","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,753","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/22/21
"1,787","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,795","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,773","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,764","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,753","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,734","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,731","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,728","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,723","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,717","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,711","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,708","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
"1,709","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/23/21
