,Date_Name,ForecastFromPresent,StationName,WeekdayName,startTime,endTime,windDirection,Rain,WindMph,temperature,SnowFlag
136,2022-12-10_Mattole River Petrolia,9,Mattole River Petrolia,Friday,2022-12-10,2022-12-10,SSW,2.0,12.0,45.5,0.0
137,2022-12-10_Navarro River,9,Navarro River,Friday,2022-12-10,2022-12-10,SW,2.0,8.0,45.5,0.0
138,2022-12-10_Nestucca River Beaver,9,Nestucca River Beaver,Friday,2022-12-10,2022-12-10,SW,1.5,14.5,41.5,0.0
139,2022-12-10_North Fork American River,9,North Fork American River,Friday,2022-12-10,2022-12-10,S,2.0,7.5,44.5,0.0
140,2022-12-10_North Umpqua River Winchester,9,North Umpqua River Winchester,Friday,2022-12-10,2022-12-10,SSW,2.0,13.0,40.5,0.0
141,2022-12-10_North Umpquar River Idlelyd,9,North Umpquar River Idlelyd,Friday,2022-12-10,2022-12-10,S,2.0,15.0,37.5,0.0
142,2022-12-10_Noyo River,9,Noyo River,Friday,2022-12-10,2022-12-10,SSW,2.0,7.5,43.5,0.0
143,2022-12-10_Pit River,9,Pit River,Friday,2022-12-10,2022-12-10,SW,2.0,8.0,32.5,0.0
144,2022-12-10_Putah Creek,9,Putah Creek,Friday,2022-12-10,2022-12-10,S,2.0,10.0,48.0,0.0
145,2022-12-10_Redwood Creek Orick,9,Redwood Creek Orick,Friday,2022-12-10,2022-12-10,S,2.0,15.5,43.0,0.0
146,2022-12-10_Rogue River Agness,9,Rogue River Agness,Friday,2022-12-10,2022-12-10,SSW,2.0,18.0,39.5,0.0
147,2022-12-10_Rogue River Grants Pass,9,Rogue River Grants Pass,Friday,2022-12-10,2022-12-10,SSW,2.0,10.5,37.0,0.0
148,2022-12-10_Russian River HaciendaBridge,9,Russian River HaciendaBridge,Friday,2022-12-10,2022-12-10,SSW,2.0,6.0,48.5,0.0
149,2022-12-10_San Lorenzo River,9,San Lorenzo River,Friday,2022-12-10,2022-12-10,SSW,1.0,5.5,49.0,0.0
150,2022-12-10_San Lorenzo River Upper,9,San Lorenzo River Upper,Friday,2022-12-10,2022-12-10,SSW,1.0,5.5,49.5,0.0
151,2022-12-10_Smith River CC,9,Smith River CC,Friday,2022-12-10,2022-12-10,S,2.0,13.0,42.5,0.0
152,2022-12-10_Trinity River Burnt Ranch,9,Trinity River Burnt Ranch,Friday,2022-12-10,2022-12-10,S,2.0,7.0,40.0,0.0
153,2022-12-10_Trinity River Junction City,9,Trinity River Junction City,Friday,2022-12-10,2022-12-10,S,2.0,7.0,37.0,0.0
154,2022-12-10_Trinity River Lewiston,9,Trinity River Lewiston,Friday,2022-12-10,2022-12-10,S,2.0,5.5,34.5,0.0
155,2022-12-10_Truckee River Farad,9,Truckee River Farad,Friday,2022-12-10,2022-12-10,SW,0.0,17.5,30.5,0.0
156,2022-12-10_Umpqua River Elkton,9,Umpqua River Elkton,Friday,2022-12-10,2022-12-10,SSW,2.0,13.5,38.5,0.0
157,2022-12-10_Van Duzen River Bridgeville,9,Van Duzen River Bridgeville,Friday,2022-12-10,2022-12-10,S,2.0,8.0,40.0,0.0
158,2022-12-10_Yuba River,9,Yuba River,Friday,2022-12-10,2022-12-10,S,2.0,9.0,34.0,0.0
159,2022-12-10_Yuba River Marysville,9,Yuba River Marysville,Friday,2022-12-10,2022-12-10,S,2.0,11.0,45.5,0.0
160,2022-12-11_East Fork Carson,11,East Fork Carson,Saturday,2022-12-11,2022-12-11,SW,0.0,10.0,26.5,0.0
161,2022-12-11_East Walker,11,East Walker,Saturday,2022-12-11,2022-12-11,SW,0.0,10.0,21.5,0.0
162,2022-12-11_Eel River Fort Seward,11,Eel River Fort Seward,Saturday,2022-12-11,2022-12-11,SSE,2.0,5.5,38.5,0.0
163,2022-12-11_Eel River Scotia,11,Eel River Scotia,Saturday,2022-12-11,2022-12-11,S,2.0,9.0,41.5,0.0
164,2022-12-11_Hat Creek,11,Hat Creek,Saturday,2022-12-11,2022-12-11,SW,0.0,6.0,27.5,0.0
165,2022-12-11_Little Truckee River,11,Little Truckee River,Saturday,2022-12-11,2022-12-11,SW,0.0,10.0,24.0,0.0
